Timestamp,Ticker,ActualPriceToday,PredictedPriceToday,ErrorToday,ForecastTomorrow,BestFitFraction
2026-06-06 15:36:28,AAPL,307.34,346.72,-39.38,346.72,31/32
2026-06-06 15:36:33,AAPL,307.34,346.72,-39.38,346.72,31/32
2026-06-06 15:44:56,AAPL,307.34,346.72,-39.38,346.72,31/32
2026-06-06 15:44:57,TSLA,391.00,489.80,-98.80,489.80,111/128
2026-06-06 15:44:57,MSFT,416.67,249.27,167.40,498.53,62/63
2026-06-06 15:44:58,NVDA,205.10,259.01,-53.91,259.01,127/128
2026-06-06 15:44:59,AMZN,246.03,302.49,-56.46,302.49,15/16
2026-06-06 18:19:46,AAPL,forward_forced,307.34,249.64,10,2
2026-06-06 19:06:00,AAPL,forward_forced,307.34,249.64,10,2
